Recipe ID,Ingredients Found in Instructions,len(ingredients)
1,2,5
2,2,2
3,7,7
4,6,7
5,2,3
6,1,2
7,2,3
8,4,4
9,6,6
10,5,7
11,3,4
12,3,4
13,4,4
14,0,5
15,1,3
16,5,6
17,2,7
18,4,6
19,1,3
20,3,5
21,4,5
22,4,4
23,4,5
24,0,3
25,0,4
26,2,6
27,4,6
28,2,4
29,0,5
30,3,3
31,4,5
32,2,2
33,4,5
34,3,4
35,5,6
36,2,5
37,2,5
38,3,5
39,5,9
40,2,3
41,4,5
42,2,3
43,5,5
44,2,3
45,6,7
46,3,6
47,2,2
48,5,5
49,1,6
50,2,3
51,4,7
52,2,3
53,3,9
54,4,4
55,2,6
56,1,8
57,4,4
58,4,6
59,1,5
60,3,6
61,5,7
62,2,4
63,1,2
64,2,5
65,5,7
66,2,3
67,2,3
68,3,3
69,2,3
70,6,6
71,6,7
72,2,4
73,3,4
74,3,3
75,0,5
76,6,7
77,1,4
78,4,4
79,4,7
80,0,2
81,4,8
82,1,7
83,1,7
84,3,4
85,2,3
86,5,7
87,4,4
88,2,3
89,0,5
90,4,6
91,2,4
92,3,6
93,5,7
94,4,5
95,4,8
96,2,8
97,0,5
98,4,4
99,3,4
100,1,3
101,3,3
102,2,2
103,3,4
104,1,2
105,3,6
106,0,2
107,2,6
108,1,3
109,2,5
110,4,5
111,1,8
112,4,6
113,3,5
114,1,7
115,4,7
116,3,4
117,0,3
118,5,7
119,2,2
120,0,2
121,2,2
122,4,8
123,5,6
124,3,6
125,4,5
126,3,4
127,2,2
128,1,6
129,1,7
130,3,4
131,1,8
132,4,5
133,1,4
134,2,4
135,5,8
136,0,2
137,5,6
138,3,4
139,3,7
140,1,2
141,3,3
142,6,7
143,0,2
144,1,3
145,0,2
146,0,4
147,1,1
148,2,5
149,1,8
150,4,5
151,2,3
152,3,5
153,2,8
154,4,7
155,6,8
156,3,5
157,2,2
158,2,4
159,6,7
160,3,3
161,0,7
162,3,6
163,0,6
164,3,6
165,2,3
166,2,5
167,2,8
168,2,2
169,2,4
170,4,7
171,5,6
172,2,8
173,1,3
174,4,4
175,1,5
176,2,2
177,1,4
178,4,5
179,2,2
180,6,7
181,0,1
182,3,4
183,0,6
184,1,5
185,2,3
186,3,5
187,3,5
188,3,4
189,0,2
190,0,6
191,7,7
192,4,7
193,3,3
194,0,4
195,3,5
196,3,6
197,4,9
198,0,6
199,1,3
200,3,6
201,4,4
202,4,7
203,2,5
204,2,5
205,6,6
206,3,8
207,5,7
208,4,4
209,2,4
210,1,1
211,2,8
212,5,5
213,1,2
214,3,5
215,4,7
216,5,6
217,2,2
218,1,2
219,0,3
220,3,6
221,4,7
222,4,7
223,1,3
224,1,4
225,5,7
226,4,7
227,1,6
228,0,6
229,2,3
230,5,8
231,1,2
232,4,4
233,0,6
234,1,7
235,3,3
236,0,3
237,5,7
238,5,7
239,3,5
240,0,9
241,1,4
242,2,3
243,4,5
244,6,6
245,3,4
246,4,5
247,4,5
248,3,4
249,2,2
250,1,5
251,1,3
252,0,4
253,4,9
254,1,1
255,4,6
256,1,5
257,6,8
258,4,5
259,4,7
260,5,7
261,0,3
262,2,7
263,6,6
264,4,8
265,3,6
266,1,4
267,3,3
268,2,6
269,0,3
270,3,4
271,0,3
272,5,7
273,0,6
274,1,4
275,3,8
276,6,6
277,4,4
278,5,5
279,1,2
280,5,7
281,5,6
282,2,3
283,3,4
284,2,4
285,3,7
286,6,7
287,7,8
288,4,4
289,2,6
290,5,7
291,1,6
292,4,6
293,3,3
294,5,7
295,5,6
296,4,4
297,4,5
298,5,8
299,3,5
300,4,5
301,1,3
302,3,4
303,2,4
304,1,4
305,0,6
306,0,5
307,2,3
308,4,4
309,2,2
310,6,7
311,3,6
312,1,1
313,1,4
314,3,3
315,2,4
316,4,5
317,2,6
318,0,3
319,3,4
320,4,5
321,3,8
322,4,7
323,1,6
324,0,4
325,3,6
326,4,5
327,4,7
328,4,4
329,2,3
330,2,5
331,2,4
332,5,6
333,4,8
334,2,4
335,2,3
336,6,7
337,3,6
338,2,2
339,2,3
340,2,3
341,1,2
342,4,5
343,3,3
344,6,7
345,6,6
346,2,2
347,0,2
348,3,4
349,1,2
350,2,2
351,1,3
352,3,7
353,2,3
354,4,5
355,5,6
356,0,7
357,1,2
358,5,8
359,0,2
360,3,5
361,3,3
362,3,3
363,6,6
364,1,5
365,3,5
366,4,5
367,2,5
368,3,4
369,2,4
370,7,9
371,0,5
372,4,7
373,1,2
374,5,5
375,0,5
376,3,3
377,3,3
378,6,7
379,4,6
380,5,6
381,2,3
382,1,6
383,2,6
384,0,5
385,1,1
386,5,5
387,4,7
388,3,8
389,5,8
390,2,2
391,1,6
392,0,5
393,1,2
394,0,4
395,0,3
396,3,4
397,5,6
398,4,6
399,5,6
400,5,7
401,5,7
402,1,3
403,2,2
404,5,6
405,1,4
406,5,6
407,4,7
408,2,5
409,0,6
410,2,6
411,4,6
412,1,7
413,1,2
414,5,6
415,5,7
416,2,5
417,2,2
418,5,7
419,2,4
420,3,4
421,3,3
422,6,6
423,5,6
424,3,6
425,1,5
426,4,6
427,5,8
428,3,4
429,4,7
430,4,4
431,2,6
432,3,3
433,1,2
434,4,5
435,1,2
436,3,4
437,2,3
438,0,6
439,4,5
440,3,6
441,0,3
442,6,7
443,5,7
444,0,5
445,2,4
446,4,5
447,3,3
448,3,3
449,2,2
450,4,5
451,0,3
452,2,2
453,2,4
454,1,7
455,2,3
456,4,4
457,0,3
458,2,3
459,3,6
460,3,4
461,3,3
462,1,4
463,1,1
464,2,3
465,3,4
466,3,5
467,1,3
468,3,5
469,1,3
470,0,5
471,4,4
472,1,2
473,2,6
474,1,3
475,1,2
476,0,3
477,3,4
478,0,4
479,0,4
480,1,1
481,6,8
482,1,5
483,6,8
484,2,2
485,3,4
486,0,7
487,2,4
488,2,6
489,4,4
490,4,4
491,4,7
492,5,7
493,0,2
494,3,5
495,5,6
496,0,6
497,3,7
498,5,6
499,4,6
500,3,3
501,3,6
502,2,2
503,1,5
504,2,6
505,4,6
506,2,3
507,3,3
508,7,8
509,1,4
510,3,7
511,2,4
512,5,6
513,5,6
514,1,2
515,3,4
516,4,4
517,8,8
518,5,6
519,6,7
520,4,5
521,6,7
522,1,4
523,1,3
524,1,6
525,1,4
526,1,5
527,8,9
528,6,8
529,3,5
530,2,7
531,0,4
532,4,6
533,2,3
534,0,5
535,4,6
536,1,6
537,5,7
538,5,8
539,1,4
540,0,6
541,1,5
542,3,4
543,4,5
544,1,2
545,1,1
546,3,3
547,1,7
548,5,5
549,2,6
550,3,4
551,3,4
552,1,4
553,5,5
554,3,4
555,0,3
556,1,4
557,2,5
558,1,2
559,5,6
560,6,6
561,2,2
562,1,4
563,3,3
564,1,2
565,6,7
566,5,7
567,0,3
568,0,2
569,3,6
570,2,2
571,5,8
572,4,4
573,5,5
574,5,7
575,2,5
576,0,2
577,5,8
578,3,6
579,6,7
580,4,6
581,2,4
582,2,4
583,1,3
584,4,5
585,0,4
586,2,3
587,3,6
588,3,5
589,3,3
590,3,3
591,1,3
592,6,8
593,4,6
594,2,7
595,1,2
596,5,8
597,3,4
598,2,3
599,0,2
600,3,5
601,0,2
602,1,7
603,5,7
604,1,5
605,1,2
606,2,3
607,6,6
608,2,3
609,2,2
610,7,8
611,3,4
612,4,7
613,2,2
614,2,3
615,1,3
616,1,3
617,5,7
618,1,7
619,2,3
620,4,6
621,5,7
622,1,6
623,3,4
624,2,6
625,6,7
626,1,2
627,1,6
628,4,4
629,0,5
630,2,2
631,1,8
632,2,2
633,2,8
634,1,7
635,5,5
636,2,7
637,0,2
638,1,2
639,3,7
640,2,3
641,3,8
642,3,7
643,2,5
644,0,7
645,3,4
646,0,2
647,6,7
648,4,6
649,1,4
650,4,5
651,2,7
652,1,6
653,1,3
654,4,6
655,5,8
656,6,6
657,1,2
658,4,4
659,3,4
660,3,6
661,3,7
662,1,5
663,3,4
664,4,5
665,0,7
666,2,2
667,5,8
668,4,5
669,3,3
670,1,7
671,3,4
672,5,8
673,2,3
674,4,5
675,2,6
676,4,6
677,1,4
678,2,4
679,1,8
680,5,7
681,2,3
682,1,2
683,2,3
684,2,2
685,3,7
686,4,8
