recipe_id,ingredients
1,"['mushroom', 'gloves', 'coriander', 'raisins', 'oil']"
2,"['cream', 'seeds']"
3,"['vermicelli', 'cheese', 'yeast', 'tartar', 'sauce', 'bacon', 'cabbage']"
4,"['nutmeg', 'sugar', 'mushrooms', 'spray', 'apples', 'strawberries', 'parsley']"
5,"['miso', 'veal', 'baguettes']"
6,"['wrap', 'thirds']"
7,"['masala', 'sauce', 'bulb']"
8,"['pepper', 'syrup', 'nutmeg', 'spinach']"
9,"['noodles', 'sauce', 'oregano', 'breadcrumbs', 'turmeric', 'peppers']"
10,"['cumin', 'flour', 'herbs', 'wine', 'pork', 'coriander', 'germ']"
11,"['oregano', 'chips', 'spray', 'savoiardi']"
12,"['fillet', 'pepper', 'flakes', 'beet']"
13,"['garlic', 'sauce', 'scallion', 'pith']"
14,"['tortsini', 'sirloin', 'presentation', 'strips', 'half']"
15,"['water', 'leaves', 'tomato']"
16,"['polenta', 'milk', 'germ', 'cocoa', 'currants', 'spaghetti']"
17,"['beans', 'jalapeno', 'chiles', 'wedge', 'flour', 'gingerroot', 'seed']"
18,"['raisins', 'oil', 'basil', 'fillets', 'chops', 'tortillas']"
19,"['triangles', 'sauce', 'cubes']"
20,"['bite', 'recipe', 'water', 'lemonade', 'strips']"
21,"['sugar', 'meat', 'parsley', 'radish', 'chiles']"
22,"['cubes', 'oregano', 'water', 'creole']"
23,"['peas', 'pepper', 'syrup', 'scallions', 'store']"
24,"['spaghetti', 'bowtie', 'flakes']"
25,"['fruit', 'pepperoni', 'crabmeat', 'kahlua']"
26,"['pasta', 'sauce', 'peas', 'parsley', 'oil', 'leaves']"
27,"['cube', 'chile', 'turnip', 'crust', 'wrappers', 'prawns']"
28,"['ale', 'mushrooms', 'slices', 'pepper']"
29,"['paprika', 'cubes', 'milk', 'cheese', 'parsley']"
30,"['mayonnaise', 'chips', 'beans']"
31,"['oil', 'chili', 'vodka', 'tomatoes', 'chunks']"
32,"['cheese', 'chilies']"
33,"['rice', 'seasoning', 'onion', 'oil', 'rolls']"
34,"['mushroom', 'yogurt', 'kahlua', 'cube']"
35,"['flour', 'bread', 'bulb', 'paste', 'noodles', 'fillets']"
36,"['flour', 'flakes', 'marmalade', 'mushrooms', 'cheese']"
37,"['link', 'jar', 'sprigs', 'strips', 'syrup']"
38,"['slices', 'catsup', 'cocoa', 'sausage', 'cream']"
39,"['cream', 'temperature', 'oil', 'soda', 'blend', 'leaves', 'yogurt', 'oregano', 'strips']"
40,"['soup', 'rice', 'pesto']"
