Recipe ID,Ingredients Found in Instructions
1,2
2,2
3,7
4,6
5,2
6,1
7,2
8,4
9,6
10,5
11,3
12,3
13,4
14,0
15,1
16,5
17,2
18,4
19,1
20,3
21,4
22,4
23,4
24,0
25,0
26,2
27,4
28,2
29,0
30,3
31,4
32,2
33,4
34,3
35,5
36,2
37,2
38,3
39,5
40,2
41,4
42,2
43,5
44,2
45,6
46,3
47,2
48,5
49,1
50,2
51,4
52,2
53,3
54,4
55,2
56,1
57,4
58,4
59,1
60,3
61,5
62,2
63,1
64,2
65,5
66,2
67,2
68,3
69,2
70,6
71,6
72,2
73,3
74,3
75,0
76,6
77,1
78,4
79,4
80,0
81,4
82,1
83,1
84,3
85,2
86,5
87,4
88,2
89,0
90,4
91,2
92,3
93,5
94,4
95,4
96,2
97,0
98,4
99,3
100,1
101,3
102,2
103,3
104,1
105,3
106,0
107,2
108,1
109,2
110,4
111,1
112,4
113,3
114,1
115,4
116,3
117,0
118,5
119,2
120,0
121,2
122,4
123,5
124,3
125,4
126,3
127,2
128,1
129,1
130,3
131,1
132,4
133,1
134,2
135,5
136,0
137,5
138,3
139,3
140,1
141,3
142,6
143,0
144,1
145,0
146,0
147,1
148,2
149,1
150,4
151,2
152,3
153,2
154,4
155,6
156,3
157,2
158,2
159,6
160,3
161,0
162,3
163,0
164,3
165,2
166,2
167,2
168,2
169,2
170,4
171,5
172,2
173,1
174,4
175,1
176,2
177,1
178,4
179,2
180,6
181,0
182,3
183,0
184,1
185,2
186,3
187,3
188,3
189,0
190,0
191,7
192,4
193,3
194,0
195,3
196,3
197,4
198,0
199,1
200,3
201,4
202,4
203,2
204,2
205,6
206,3
207,5
208,4
209,2
210,1
211,2
212,5
213,1
214,3
215,4
216,5
217,2
218,1
219,0
220,3
221,4
222,4
223,1
224,1
225,5
226,4
227,1
228,0
229,2
230,5
231,1
232,4
233,0
234,1
235,3
236,0
237,5
238,5
239,3
240,0
241,1
242,2
243,4
244,6
245,3
246,4
247,4
248,3
249,2
250,1
251,1
252,0
253,4
254,1
255,4
256,1
257,6
258,4
259,4
260,5
261,0
262,2
263,6
264,4
